zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
62373,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
61452,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
61455,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62320,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62379,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62359,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62319,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62314,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62316,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62311,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62312,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62618,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62611,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62343,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62340,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62346,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62347,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62344,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62345,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62349,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62378,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62624,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62339,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62338,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62365,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62367,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62681,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
61440,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62351,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62353,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62305,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62324,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62325,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
62665,97,Adams Electric Coop,IL,Bundled,Cooperative,0.102942582,0,0.147081115
53952,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53955,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53954,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53959,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54646,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53956,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53590,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
